Id,UTC,UTCMilliseconds,PCLocalTime,PCTime,UpdateOf,Sensor_0_Raw,Sensor_0_Depth
152,2017-09-29 09:51:06.463,463,2017-09-29 09:51:06.463,2017-09-29 09:51:06.463,0,2.498779296875,44.28946044921875
153,2017-09-29 09:51:16.463,463,2017-09-29 09:51:16.463,2017-09-29 09:51:16.464,0,2.498779296875,44.28946044921875
154,2017-09-29 09:51:26.463,463,2017-09-29 09:51:26.463,2017-09-29 09:51:26.464,0,2.498779296875,44.28946044921875
155,2017-09-29 09:51:36.464,464,2017-09-29 09:51:36.464,2017-09-29 09:51:36.465,0,2.498779296875,44.28946044921875
156,2017-09-29 09:51:46.464,464,2017-09-29 09:51:46.464,2017-09-29 09:51:46.465,0,2.498779296875,44.28946044921875
157,2017-09-29 09:51:56.464,464,2017-09-29 09:51:56.464,2017-09-29 09:51:56.465,0,2.498779296875,44.28946044921875
158,2017-09-29 09:52:03.088,88,2017-09-29 09:52:03.088,2017-09-29 09:52:03.091,0,2.498779296875,75.80946044921875
159,2017-09-29 09:52:13.081,81,2017-09-29 09:52:13.081,2017-09-29 09:52:13.082,0,2.498779296875,75.80946044921875
160,2017-09-29 09:52:16.105,105,2017-09-29 09:52:16.105,2017-09-29 09:52:16.106,0,2.498779296875,11.80946044921875
161,2017-09-29 09:52:26.097,97,2017-09-29 09:52:26.097,2017-09-29 09:52:26.098,0,2.498779296875,11.80946044921875
162,2017-09-29 09:52:30.865,865,2017-09-29 09:52:30.865,2017-09-29 09:52:30.866,0,2.498779296875,-1.1905395507812493
163,2017-09-29 09:52:40.858,858,2017-09-29 09:52:40.858,2017-09-29 09:52:40.859,0,2.498779296875,-1.1905395507812493
164,2017-09-29 09:52:44.682,682,2017-09-29 09:52:44.682,2017-09-29 09:52:44.683,0,2.498779296875,0.00946044921875
165,2017-09-29 09:52:54.682,682,2017-09-29 09:52:54.682,2017-09-29 09:52:54.683,0,2.498779296875,0.00946044921875
166,2017-09-29 09:53:04.682,682,2017-09-29 09:53:04.682,2017-09-29 09:53:04.683,0,2.498779296875,0.00946044921875
